名字,期刊,ISSN,EISSN,最新IF ,5年IF,JCR分区,中科院分区,中科院预警,,,,,,
CA-A CANCER JOURNAL FOR CLINICIANS,CA-CANCER J CLIN,0007-9235,1542-4863,503.1,297,Q1,,,,,,,,
NATURE REVIEWS DRUG DISCOVERY,NAT REV DRUG DISCOV,1474-1776,1474-1784,122.7,114.9,Q1,,,,,,,,
LANCET,LANCET,0140-6736,1474-547X,98.4,106.9,Q1,,,,,,,,
NEW ENGLAND JOURNAL OF MEDICINE,NEW ENGL J MED,0028-4793,1533-4406,96.2,94.3,Q1,,,,,,,,
BMJ-British Medical Journal,BMJ-BRIT MED J,0959-535X,1756-1833,93.6,69.9,Q1,,,,,,,,
NATURE REVIEWS MOLECULAR CELL BIOLOGY,NAT REV MOL CELL BIO,1471-0072,1471-0080,81.3,115.5,Q1,,,,,,,,
Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,1759-4774,1759-4782,81.1,81.5,Q1,,,,,,,,
Nature Reviews Materials,NAT REV MATER,2058-8437,2058-8437,79.8,85.7,Q1,,,,,,,,
Nature Reviews Disease Primers,NAT REV DIS PRIMERS,2056-676X,2056-676X,76.9,92.6,Q1,,,,,,,,
NATURE REVIEWS CANCER,NAT REV CANCER,1474-175X,1474-1768,72.5,77.2,Q1,,,,,,,,
NATURE REVIEWS MICROBIOLOGY,NAT REV MICROBIOL,1740-1526,1740-1534,69.2,81.3,Q1,,,,,,,,
NATURE REVIEWS IMMUNOLOGY,NAT REV IMMUNOL,1474-1733,1474-1741,67.7,78.1,Q1,,,,,,,,
Foundations and Trends in Machine Learning,FOUND TRENDS MACH LE,1935-8237,1935-8245,65.3,70.8,Q1,,,,,,,,
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,JAMA-J AM MED ASSOC,0098-7484,1538-3598,63.1,66.8,Q1,,,,,,,,
World Psychiatry,WORLD PSYCHIATRY,1723-8617,2051-5545,60.5,55.5,Q1,,,,,,,,
NATURE MEDICINE,NAT MED,1078-8956,1546-170X,58.7,59.2,Q1,,,,,,,,
ANNALS OF ONCOLOGY,ANN ONCOL,0923-7534,1569-8041,56.7,38.2,Q1,,,,,,,,
CHEMICAL REVIEWS,CHEM REV,0009-2665,1520-6890,51.4,63.5,Q1,,,,,,,,
NATURE,NATURE,0028-0836,1476-4687,50.5,54.4,Q1,,,,,,,,
Nature Reviews Methods Primers,NAT REV METHOD PRIME,N/A,2662-8449,50.1,50.1,Q1,,,,,,,,
Nature Energy,NAT ENERGY,2058-7546,2058-7546,49.7,62.3,Q1,,,,,,,,
Nature Reviews Earth & Environment,NAT REV EARTH ENV,N/A,2662-138X,49.7,54.5,Q1,,,,,,,,
CANCER CELL,CANCER CELL,1535-6108,1878-3686,48.8,42.1,Q1,,,,,,,,
LANCET NEUROLOGY,LANCET NEUROL,1474-4422,1474-4465,46.5,51.6,Q1,,,,,,,,
Nature Reviews Gastroenterology & Hepatology,NAT REV GASTRO HEPAT,1759-5045,1759-5053,45.9,65.1,Q1,,,,,,,,
REVIEWS OF MODERN PHYSICS,REV MOD PHYS,0034-6861,1539-0756,45.9,52.1,Q1,,,,,,,,
CELL,CELL,0092-8674,1097-4172,45.5,49,Q1,,,,,,,,
Nature Reviews Physics,NAT REV PHYS,N/A,2522-5820,44.8,44.6,Q1,,,,,,,,
SCIENCE,SCIENCE,0036-8075,1095-9203,44.7,50.3,Q1,,,,,,,,
Lancet Diabetes & Endocrinology,LANCET DIABETES ENDO,2213-8587,2213-8595,44,38.2,Q1,,,,,,,,
eScience,ESCIENCE,N/A,2667-1417,42.9,42.9,Q1,,,,,,,,
Nature Catalysis,NAT CATAL,2520-1158,2520-1158,42.8,47,Q1,,,,,,,,
JOURNAL OF CLINICAL ONCOLOGY,J CLIN ONCOL,0732-183X,1527-7755,42.1,37.4,Q1,,,,,,,,
Nature Reviews Cardiology,NAT REV CARDIOL,1759-5002,1759-5010,41.7,46.5,Q1,,,,,,,,
